chrom,date,H3K27ac,H3K27me3,H3K36me3,H3K4me1,H3K4me3,H3K9me3,GC content,gene density,2-stage,target_1,target_2,target_3,target_4,target_5,target_6,target_7,target_8,target_9,target_10,target_11,target_12,target_13,target_14,target_15,target_16
1,2950000,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,-0.333424,0.0286591826063999,0.0199541467701799,0.0095478375217114,0.0027403033369692,0.0,0.0,0.0,0.0,0.0,0.0174817097278366,0.0597478346717908,0.1201070151487545,0.1736543264413461,0.2045373945176637,0.1949230069883092,0.1686472422690383
1,3000000,0.978850781917572,1.63190495967865,1.302474856376648,1.1919862031936646,1.2500107288360596,2.263129711151123,0.39459,0.0,-2.82486,0.0259420262359212,0.0164978967231022,0.0067871692110729,0.0017557506436896,0.0,0.0,0.0,0.0,7.740040934098174e-05,0.017374711753846,0.059207595597233,0.1199588905095007,0.1744389333773564,0.2065233374437312,0.1982852484755345,0.1731510396196709
1,3050000,0.9048261642456056,1.5155601501464844,1.280367136001587,1.1104885339736938,1.2975103855133057,2.0267906188964844,0.39016,1.0,-2.92795,0.020559272077583,0.0114292367913862,0.0035646068564309,0.0007884339208693,0.0,0.0,0.0,0.0,0.0009234106776581,0.0190499112501803,0.0608853246727561,0.1209942041251493,0.1756060994405123,0.2086588947321931,0.2013510400755316,0.1761895653797493
1,3100000,0.9280865788459778,1.5180433988571167,1.2153866291046145,1.153122901916504,1.2805503606796265,1.842919111251831,0.39032,1.0,-2.8788,0.0148772292732069,0.0062479815387993,0.0004965639407846,0.0,0.0,0.0,0.0,0.0,0.0021463292151906,0.0221023209694521,0.0646620302584791,0.1234310597119441,0.1767145500164522,0.209682176346677,0.2026640496248884,0.1769757091041255
1,3150000,1.124497890472412,1.7312862873077393,1.4688044786453247,1.4567909240722656,1.4208954572677612,2.284919500350952,0.38838,0.0,-3.33846,0.013050824717893,0.0049272170923607,0.0,0.0,0.0,0.0,0.0,0.0,0.0029854278970599,0.0248648396335463,0.0683675690628077,0.1256615457924156,0.1764571405843198,0.2080978224967101,0.200718815312302,0.1748687974105844
1,3200000,1.195992946624756,1.725864291191101,1.5130212306976318,1.3574910163879397,1.2999026775360107,2.2168402671813965,0.38062,1.0,-2.78342,0.0132296288764905,0.0049947229339815,0.0,0.0,0.0,0.0,0.0,0.0,0.0029550022764406,0.0255925340677249,0.0695004409627317,0.1261919634248283,0.1756822160743127,0.2073253572275249,0.2002174575453293,0.1743106766106351
1,3250000,1.1138924360275269,1.6756656169891355,1.4378652572631836,1.3255329132080078,1.3374184370040894,2.0289251804351807,0.39232,2.0,-3.71068,0.0154929816202318,0.0072170390002635,0.0010760141836945,0.0,0.0,0.0,0.0,0.0,0.0028004021699073,0.025474734881644,0.0695119417824747,0.1260675523787594,0.1749505030046036,0.2063289608167322,0.198824081427797,0.1722557887338916
1,3300000,1.068239450454712,1.4993200302124023,1.2858378887176514,1.2527670860290527,1.2691378593444824,1.9061877727508545,0.38662,1.0,-3.10865,0.0149611676764624,0.0078570001486804,0.0017374013533585,0.0,0.0,0.0,0.0,0.0,0.0032331177026767,0.0266761625687712,0.0715611248764497,0.1281722751450894,0.1756489825300031,0.2047646054941515,0.1960189379655365,0.1693692245388202
1,3350000,1.4490885734558103,1.7503281831741333,1.638603925704956,1.5388966798782349,1.4524000883102417,1.912017703056336,0.3795,3.0,-2.97511,0.0095868594004345,0.0049390729413143,0.0010381244251414,0.0,0.0,0.0,0.0,0.0,0.0039589240255352,0.0288453082701749,0.0748735296515121,0.1313039920802123,0.1776676161959929,0.2048022196419908,0.1947803924856418,0.1682039608820492
1,3400000,1.323759913444519,1.745578050613403,1.5917645692825315,1.5483418703079224,1.4906519651412964,2.096817970275879,0.38234,1.0,-3.10438,0.003668794046993,0.0013851189581844,0.0,0.0,0.0,0.0,0.0,0.0,0.0039085593573415,0.0293706606035843,0.0765754034128634,0.1334590567255784,0.1797546970953321,0.2065368930248441,0.1960837654491306,0.1692570513261476
1,3450000,1.3220661878585815,1.6880000829696655,1.596778154373169,1.541899800300598,1.438969612121582,1.9883825778961184,0.3807,3.0,-3.12028,0.0013478190963208,0.0005088565230438,0.0,0.0,0.0,0.0,0.0,0.0,0.0030878311885229,0.0284350974459882,0.0772315902302034,0.1352037329773038,0.1811256773482337,0.2074543044277022,0.1965499269152955,0.1690551638473853
